experiencia,episodio,passos,recompensa_total,recompensa_descontada,sucesso
Labirinto_Treino,7566,34,59.00,-10.159719,1
Labirinto_Treino,7567,59,26.00,-15.006791,1
Labirinto_Treino,7568,15,86.00,15.164472,1
Labirinto_Treino,7569,8,93.00,42.612659,1
Labirinto_Treino,7570,19,82.00,6.510410,1
Labirinto_Treino,7571,7,94.00,48.458510,1
Labirinto_Treino,7572,99,-6.00,-10.089291,1
Labirinto_Treino,7573,32,65.00,-8.165235,1
Labirinto_Treino,7574,6,95.00,54.953900,1
Labirinto_Treino,7575,63,30.00,-12.564413,1
Labirinto_Treino,7576,18,83.00,8.344900,1
Labirinto_Treino,7577,34,67.00,-6.600653,1
Labirinto_Treino,7578,50,51.00,-9.370094,1
Labirinto_Treino,7579,30,67.00,-6.944622,1
Labirinto_Treino,7580,3,98.00,79.100000,1
Labirinto_Treino,7581,2,99.00,89.000000,1
Labirinto_Treino,7582,3,98.00,79.100000,1
Labirinto_Treino,7583,59,30.00,-12.033948,1
Labirinto_Treino,7584,59,34.00,-14.251204,1
Labirinto_Treino,7585,4,97.00,70.190000,1
Labirinto_Treino,7586,7,94.00,48.458510,1
Labirinto_Treino,7587,4,97.00,70.190000,1
Labirinto_Treino,7588,21,80.00,3.373432,1
Labirinto_Treino,7589,16,85.00,12.648025,1
Labirinto_Treino,7590,33,60.00,-10.155694,1
Labirinto_Treino,7591,8,93.00,42.612659,1
Labirinto_Treino,7592,60,33.00,-14.418234,1
Labirinto_Treino,7593,73,12.00,-10.765975,1
Labirinto_Treino,7594,10,91.00,32.616254,1
Labirinto_Treino,7595,13,88.00,21.067249,1
Labirinto_Treino,7596,102,-53.00,-18.178838,1
Labirinto_Treino,7597,54,47.00,-9.586719,1
Labirinto_Treino,7598,16,85.00,12.648025,1
Labirinto_Treino,7599,66,35.00,-9.883277,1
Labirinto_Treino,7600,54,43.00,-10.024395,1
Labirinto_Treino,7601,6,95.00,54.953900,1
Labirinto_Treino,7602,86,11.00,-9.989247,1
Labirinto_Treino,7603,29,68.00,-6.605136,1
Labirinto_Treino,7604,76,5.00,-13.543347,1
Labirinto_Treino,7605,54,35.00,-12.636448,1
Labirinto_Treino,7606,15,86.00,15.164472,1
Labirinto_Treino,7607,30,71.00,-4.818858,1
Labirinto_Treino,7608,19,78.00,5.255167,1
Labirinto_Treino,7609,25,76.00,-1.225691,1
Labirinto_Treino,7610,12,89.00,24.519166,1
Labirinto_Treino,7611,2,99.00,89.000000,1
Labirinto_Treino,7612,31,70.00,-5.336973,1
Labirinto_Treino,7613,8,93.00,42.612659,1
Labirinto_Treino,7614,10,91.00,32.616254,1
Labirinto_Treino,7615,11,90.00,28.354628,1
Labirinto_Treino,7616,40,61.00,-8.193448,1
Labirinto_Treino,7617,8,93.00,42.612659,1
Labirinto_Treino,7618,58,31.00,-10.440349,1
Labirinto_Treino,7619,3,98.00,79.100000,1
Labirinto_Treino,7620,12,89.00,24.519166,1
Labirinto_Treino,7621,16,85.00,12.648025,1
Labirinto_Treino,7622,12,89.00,24.519166,1
Labirinto_Treino,7623,2,99.00,89.000000,1
Labirinto_Treino,7624,20,81.00,4.859369,1
Labirinto_Treino,7625,57,32.00,-13.525259,1
Labirinto_Treino,7626,11,90.00,28.354628,1
Labirinto_Treino,7627,40,49.00,-10.032502,1
Labirinto_Treino,7628,41,60.00,-8.374103,1
Labirinto_Treino,7629,38,59.00,-9.164402,1
Labirinto_Treino,7630,14,87.00,17.960524,1
Labirinto_Treino,7631,31,66.00,-6.731686,1
Labirinto_Treino,7632,2,99.00,89.000000,1
Labirinto_Treino,7633,26,75.00,-2.103122,1
Labirinto_Treino,7634,28,69.00,-6.227929,1
Labirinto_Treino,7635,9,92.00,37.351393,1
Labirinto_Treino,7636,5,96.00,62.171000,1
Labirinto_Treino,7637,6,95.00,54.953900,1
Labirinto_Treino,7638,14,87.00,17.960524,1
Labirinto_Treino,7639,14,87.00,17.960524,1
Labirinto_Treino,7640,15,86.00,15.164472,1
Labirinto_Treino,7641,15,86.00,15.164472,1
Labirinto_Treino,7642,21,80.00,3.373432,1
Labirinto_Treino,7643,11,90.00,28.354628,1
Labirinto_Treino,7644,22,79.00,2.036089,1
Labirinto_Treino,7645,11,90.00,28.354628,1
Labirinto_Treino,7646,15,86.00,15.164472,1
Labirinto_Treino,7647,14,87.00,17.960524,1
Labirinto_Treino,7648,71,-2.00,-11.616139,1
Labirinto_Treino,7649,36,53.00,-11.572640,1
Labirinto_Treino,7650,12,89.00,24.519166,1
Labirinto_Treino,7651,18,83.00,8.344900,1
Labirinto_Treino,7652,20,81.00,4.859369,1
Labirinto_Treino,7653,11,90.00,28.354628,1
Labirinto_Treino,7654,51,46.00,-12.349085,1
Labirinto_Treino,7655,60,37.00,-12.404765,1
Labirinto_Treino,7656,1,100.00,100.000000,1
Labirinto_Treino,7657,45,52.00,-9.848321,1
Labirinto_Treino,7658,27,66.00,-9.732810,1
Labirinto_Treino,7659,36,65.00,-7.246529,1
Labirinto_Treino,7660,6,95.00,54.953900,1
Labirinto_Treino,7661,44,49.00,-12.195727,1
Labirinto_Treino,7662,9,92.00,37.351393,1
Labirinto_Treino,7663,8,93.00,42.612659,1
Labirinto_Treino,7664,57,40.00,-11.093432,1
Labirinto_Treino,7665,8,93.00,42.612659,1
Labirinto_Treino,7666,10,91.00,32.616254,1
Labirinto_Treino,7667,15,86.00,15.164472,1
Labirinto_Treino,7668,11,90.00,28.354628,1
Labirinto_Treino,7669,78,15.00,-13.921552,1
Labirinto_Treino,7670,11,90.00,28.354628,1
Labirinto_Treino,7671,58,39.00,-9.763758,1
Labirinto_Treino,7672,32,65.00,-7.197989,1
Labirinto_Treino,7673,45,56.00,-8.933249,1
Labirinto_Treino,7674,9,92.00,37.351393,1
Labirinto_Treino,7675,7,94.00,48.458510,1
Labirinto_Treino,7676,24,77.00,-0.250768,1
Labirinto_Treino,7677,9,92.00,37.351393,1
Labirinto_Treino,7678,14,87.00,17.960524,1
Labirinto_Treino,7679,59,22.00,-12.651002,1
Labirinto_Treino,7680,24,77.00,-0.250768,1
Labirinto_Treino,7681,6,95.00,54.953900,1
Labirinto_Treino,7682,25,76.00,-1.225691,1
Labirinto_Treino,7683,76,13.00,-10.932751,1
Labirinto_Treino,7684,7,94.00,48.458510,1
Labirinto_Treino,7685,3,98.00,79.100000,1
Labirinto_Treino,7686,71,22.00,-13.208108,1
Labirinto_Treino,7687,10,91.00,32.616254,1
Labirinto_Treino,7688,74,19.00,-10.075332,1
Labirinto_Treino,7689,1,100.00,100.000000,1
Labirinto_Treino,7690,7,94.00,48.458510,1
Labirinto_Treino,7691,32,61.00,-7.174539,1
Labirinto_Treino,7692,26,75.00,-2.103122,1
Labirinto_Treino,7693,6,95.00,54.953900,1
Labirinto_Treino,7694,6,95.00,54.953900,1
Labirinto_Treino,7695,14,87.00,17.960524,1
Labirinto_Treino,7696,7,94.00,48.458510,1
Labirinto_Treino,7697,4,97.00,70.190000,1
Labirinto_Treino,7698,8,93.00,42.612659,1
Labirinto_Treino,7699,3,98.00,79.100000,1
Labirinto_Treino,7700,37,56.00,-12.508236,1
Labirinto_Treino,7701,11,90.00,28.354628,1
Labirinto_Treino,7702,29,72.00,-4.243176,1
Labirinto_Treino,7703,23,78.00,0.832480,1
Labirinto_Treino,7704,2,99.00,89.000000,1
Labirinto_Treino,7705,21,80.00,3.373432,1
Labirinto_Treino,7706,3,98.00,79.100000,1
Labirinto_Treino,7707,44,57.00,-8.814721,1
Labirinto_Treino,7708,16,85.00,12.648025,1
Labirinto_Treino,7709,27,74.00,-2.892810,1
Labirinto_Treino,7710,27,74.00,-2.892810,1
Labirinto_Treino,7711,57,40.00,-11.420587,1
Labirinto_Treino,7712,8,93.00,42.612659,1
Labirinto_Treino,7713,11,90.00,28.354628,1
Labirinto_Treino,7714,39,58.00,-10.118484,1
Labirinto_Treino,7715,64,37.00,-9.855898,1
Labirinto_Treino,7716,32,69.00,-5.803275,1
Labirinto_Treino,7717,8,93.00,42.612659,1
Labirinto_Treino,7718,41,56.00,-9.041190,1
Labirinto_Treino,7719,20,81.00,4.859369,1
Labirinto_Treino,7720,9,92.00,37.351393,1
Labirinto_Treino,7721,9,92.00,37.351393,1
Labirinto_Treino,7722,56,45.00,-9.665242,1
Labirinto_Treino,7723,13,88.00,21.067249,1
Labirinto_Treino,7724,45,56.00,-8.933249,1
Labirinto_Treino,7725,68,21.00,-14.746624,1
Labirinto_Treino,7726,8,93.00,42.612659,1
Labirinto_Treino,7727,99,-14.00,-13.875630,1
Labirinto_Treino,7728,5,96.00,62.171000,1
Labirinto_Treino,7729,15,86.00,15.164472,1
Labirinto_Treino,7730,10,91.00,32.616254,1
Labirinto_Treino,7731,7,94.00,48.458510,1
Labirinto_Treino,7732,8,93.00,42.612659,1
Labirinto_Treino,7733,46,47.00,-10.034211,1
Labirinto_Treino,7734,58,43.00,-9.728846,1
Labirinto_Treino,7735,36,61.00,-8.796211,1
Labirinto_Treino,7736,11,90.00,28.354628,1
Labirinto_Treino,7737,13,88.00,21.067249,1
Labirinto_Treino,7738,65,32.00,-12.786308,1
Labirinto_Treino,7739,29,64.00,-9.229536,1
Labirinto_Treino,7740,32,65.00,-6.035874,1
Labirinto_Treino,7741,38,63.00,-7.769688,1
Labirinto_Treino,7742,33,60.00,-8.393262,1
Labirinto_Treino,7743,56,37.00,-13.746344,1
Labirinto_Treino,7744,8,93.00,42.612659,1
Labirinto_Treino,7745,32,61.00,-8.747671,1
Labirinto_Treino,7746,4,97.00,70.190000,1
Labirinto_Treino,7747,24,77.00,-0.250768,1
Labirinto_Treino,7748,4,97.00,70.190000,1
Labirinto_Treino,7749,16,85.00,12.648025,1
Labirinto_Treino,7750,26,67.00,-6.258194,1
Labirinto_Treino,7751,3,98.00,79.100000,1
Labirinto_Treino,7752,40,61.00,-8.193448,1
Labirinto_Treino,7753,3,98.00,79.100000,1
Labirinto_Treino,7754,26,75.00,-2.103122,1
Labirinto_Treino,7755,11,90.00,28.354628,1
Labirinto_Treino,7756,58,39.00,-10.395933,1
Labirinto_Treino,7757,4,97.00,70.190000,1
Labirinto_Treino,7758,50,43.00,-12.438702,1
Labirinto_Treino,7759,17,84.00,10.383222,1
Labirinto_Treino,7760,30,71.00,-4.818858,1
Labirinto_Treino,7761,7,94.00,48.458510,1
Labirinto_Treino,7762,8,93.00,42.612659,1
Labirinto_Treino,7763,35,58.00,-11.681796,1
Labirinto_Treino,7764,47,50.00,-9.573608,1
Labirinto_Treino,7765,10,91.00,32.616254,1
Labirinto_Treino,7766,51,46.00,-9.665684,1
Labirinto_Treino,7767,73,20.00,-10.167489,1
Labirinto_Treino,7768,12,89.00,24.519166,1
Labirinto_Treino,7769,25,76.00,-1.225691,1
Labirinto_Treino,7770,30,71.00,-4.818858,1
Labirinto_Treino,7771,25,72.00,-2.049256,1
Labirinto_Treino,7772,9,92.00,37.351393,1
Labirinto_Treino,7773,11,90.00,28.354628,1
Labirinto_Treino,7774,1,100.00,100.000000,1
Labirinto_Treino,7775,32,61.00,-11.959275,1
Labirinto_Treino,7776,7,94.00,48.458510,1
Labirinto_Treino,7777,5,96.00,62.171000,1
Labirinto_Treino,7778,26,75.00,-2.103122,1
Labirinto_Treino,7779,13,88.00,21.067249,1
Labirinto_Treino,7780,68,29.00,-12.821455,1
Labirinto_Treino,7781,5,96.00,62.171000,1
Labirinto_Treino,7782,1,100.00,100.000000,1
Labirinto_Treino,7783,52,45.00,-11.851736,1
Labirinto_Treino,7784,48,53.00,-9.222338,1
Labirinto_Treino,7785,75,22.00,-9.993570,1
Labirinto_Treino,7786,14,87.00,17.960524,1
Labirinto_Treino,7787,28,73.00,-3.603529,1
Labirinto_Treino,7788,11,90.00,28.354628,1
Labirinto_Treino,7789,20,81.00,4.859369,1
Labirinto_Treino,7790,10,91.00,32.616254,1
Labirinto_Treino,7791,19,82.00,6.510410,1
Labirinto_Treino,7792,11,90.00,28.354628,1
Labirinto_Treino,7793,1,100.00,100.000000,1
Labirinto_Treino,7794,9,92.00,37.351393,1
Labirinto_Treino,7795,109,-48.00,-11.955032,1
Labirinto_Treino,7796,6,95.00,54.953900,1
Labirinto_Treino,7797,11,90.00,28.354628,1
Labirinto_Treino,7798,28,73.00,-3.603529,1
Labirinto_Treino,7799,14,87.00,17.960524,1
Labirinto_Treino,7800,99,-26.00,-13.785661,1
Labirinto_Treino,7801,83,2.00,-12.334008,1
Labirinto_Treino,7802,4,97.00,70.190000,1
Labirinto_Treino,7803,17,84.00,10.383222,1
Labirinto_Treino,7804,35,58.00,-9.403665,1
Labirinto_Treino,7805,22,79.00,2.036089,1
Labirinto_Treino,7806,33,68.00,-6.222948,1
Labirinto_Treino,7807,10,91.00,32.616254,1
Labirinto_Treino,7808,6,95.00,54.953900,1
Labirinto_Treino,7809,3,98.00,79.100000,1
